科目（民法物権）,,民法物権,,,もっと深掘る,,問題,,,肢,,メモ
根抵当権の元本確定期日は定めることも、変更することもでき、この期日は、定めまたは変更した日から5年以内でなければならず、期日の変更よりも前に登記をしなかったとき、元本は、変更前の期日に確定する　　　　,,,,,"1. 根拠（条文・法理）結論：元本確定後、不動産の所有者（設定者）などは、現在の借金額に「今後2年分の利息等」を加えた額まで、極度額を下げろと請求できます。根拠条文：民法398条の21「元本の確定後、根抵当権設定者は、その根抵当権の極度額を、現に存する債務の額に以後2年間に生ずべき利息その他の定期金及び債務の不履行による損害賠償の額を加えた額に減額することを請求することができる。」法理のポイント：元本が確定すると、根抵当権は「将来増えるかもしれない借金」を担保する役割を終え、普通の抵当権に近い性質になります。そうなれば、必要以上に高い極度額（枠）を維持して不動産の価値を縛り続ける必要がないため、所有者に減額を認めて不動産の有効活用を助ける仕組みです。2. 具体例とメカニズム現状： 極度額5,000万円の根抵当権がある。元本が確定した時点での実際の借金（元本）が2,000万円だった場合。減額請求の計算：現存する元本：2,000万円今後2年分の利息等：例（年10%なら200万円×2年＝400万円）合計：2,400万円アクション：不動産の所有者は、根抵当権者に対して「極度額を5,000万円から2,400万円に下げてください」と請求できます。メリット：極度額が下がれば、その分だけ不動産の「担保余力」が空くため、所有者は別の銀行からお金を借りやすくなります。3. 過去問の急所（ここが狙われる！）試験では、**「誰が請求できるか」と「減額できる範囲」**が入れ替えて出題されます。項目正しい内容注意点請求権者設定者（所有者）・債務者根抵当権者（銀行）側からではありません。タイミング元本確定後に限る確定前はいくら増えるか不明なので不可。減額の範囲現存債務 ＋ 以後2年分の利息等「元本のみ」ではありません。効果請求により当然に減額される形成権としての性質を持ちます。ひっかけのパターン：「元本確定後、根抵当権者は、極度額が現存する債務の額を超えるときは、その額まで極度額を減額しなければならない」→ ×（誤り）（理由：根抵当権者から進んで減額する義務はなく、あくまで設定者からの「請求」がトリガーです。）4. 周辺知識（抵当権の「2年分ルール」との違い）普通の抵当権にも「2年分」という数字が出てきますが、意味が全く異なります。抵当権（375条）： 後順位者がいる場合に、利息を優先的に取れるのが「最後の2年分」に制限される（上限の設定）。根抵当権（398条の21）： 確定後に極度額をどこまで下げられるかという「計算式」としての2年分。暗記のポイント：「根抵当権の減額は、**オーナー（設定者）**の権利。今ある借金 ＋ これから2年分の利息が新しい枠。」学習のアドバイス根抵当権は「枠」を支配する権利であるため、元本が確定して「これ以上借金が増えない」状態になった後は、その「枠」を適正なサイズにリサイズ（減額）する権利が所有者に与えられます。誰がその不動産の価値を自由にしたいと考えているか（＝所有者）を想像すれば、請求の主体を間違えることはなくなります。",,,,,Aが自己所有の建物をBに賃貸しBからAへ敷金が交付された場合において、賃貸借契約が終了したときは、Bは、Aからの建物明渡請求に対して、Aに対する敷金返還請求権を保全するために同時履行の抗弁権を主張することも留置権を行使することもできない。,,
元本確定前に抵当権者から免責的債務引受により被担保債権を譲り受けた者は、根抵当権を行使できず、根抵当権者も引受債務について、抵当権を行使できない,,,,,"1. 根拠（条文・法理）結論：その通りです。元本確定前に債務引受があっても、根抵当権が引受人に随伴することはありません。根抵当権は、元本確定前においては特定の債権と結びついていない「枠」です。そのため、債務が他者に移転しても、根抵当権がその債務を追いかけることはありません（随伴性の否定）。根拠条文：民法398条の7第2項（根抵当権の随伴性の否定）「元本の確定前に債務の引受けがあったときは、根抵当権者は、その引受人の債務について、その根抵当権を行使することができない。」法理のポイント：引受人の立場： 債務を引き受けても、根抵当権という担保は付いてきません（無担保債務になる）。根抵当権者の立場： 引受人に対して根抵当権を主張することはできません。また、元の債務者は債務を免れているため、結局、その根抵当権でこの債務を担保することは不可能になります。2. 具体例とメカニズム現状： A銀行が、Bの土地に極度額5,000万円の根抵当権を設定している（債務者はB）。免責的債務引受： 元本確定前に、CがBの借金を肩代わりし、Bは借金から解放された。結果：A銀行の権利： Cに対して「Bから引き継いだ借金を払え」とは言えますが、Bの土地を競売にかける（根抵当権を行使する）ことはできません。担保の行方： この借金は「無担保」のものとして確定します。例外的な解決策： Cの債務も担保したい場合は、元本確定前に**「債務者の変更」**の手続き（設定者の承諾＋登記）を別途行う必要があります。3. 過去問の急所（ここが狙われる！）行政書士試験では、**「元本確定前」**の随伴性の有無が最大の論点です。タイミング債務引受と根抵当権の効力理由元本確定前行使できない随伴性が否定されるため（398条の7第2項）。元本確定後行使できる普通の抵当権と同じ性質（随伴性あり）になるため。ひっかけのパターン：「元本確定前において免責的債務引受がなされた場合、根抵当権者は当然に引受人の債務について根抵当権を行使できる」→ ×（誤り）「当然に」ではなく、債務者の変更登記がない限り行使できません。4. 周辺知識（債権譲渡との比較）「債権が動く（譲渡）」か「債務が動く（引受）」か、どちらも結論は同じです。確定前の債権譲渡： 譲受人は根抵当権を行使できない（398条の7第1項）。確定前の債務引受： 根抵当権者は引受人の債務に根抵当権を行使できない（398条の7第2項）。暗記のポイント：「元本確定前は**『人（債務者）』も『中身（債権）』**も、枠から外れたら担保は付いてこない」と覚えましょう。受験生へのアドバイスこの論点は、**「随伴性の否定」**という言葉の意味を正確に理解しているかが問われます。アプリ開発のロジックで言えば、確定前の根抵当権は「特定のTransaction ID」ではなく「Customer ID」に紐付いているようなものです。Transaction（債権）が別のCustomer（引受人）に移っても、元のCustomer IDの枠（根抵当権）は適用されない、とイメージすると構造的に理解しやすくなります。",,不動産先取特権に関する次の記述のうち、民法の規定に照らし、誤っているものはどれか。,,,不動産の保存の先取特権は、保存行為を完了後、直ちに登記をしたときはその効力が保存され、同一不動産上に登記された既存の抵当権に優先する。,,
元本確定後、根抵当権者は、極度額の減額請求ができ、その範囲は現存債務の額と以後２年間に生ずべき利息、その他の定期金および債務の不履行による損害賠償請求の額とを加えた額に減額できる,,,,,1. 根拠（条文・法理）結論：元本は、当事者の請求だけでなく、法律で定められた特定の「事由」が発生した際にも自動的に確定します。根抵当権は無期限に続くものではなく、債権回収が必要な局面や、当事者の信用状態に重大な変化があった場合には、その時点の債権額で「枠」を固める（確定させる）必要があります。根拠条文：民法398条の20第1項根抵当権の元本が確定する事由（差し押さえ、破産、競売開始決定など）が列挙されています。法理のポイント：確定事由には「当然に確定するもの」と「解除や取り消しによって確定しなかったことになるもの」があります。特に第三者による差し押さえがあった場合、根抵当権者がそれを「知った時」に確定するというルールは、根抵当権者の取引の安全を守るためのものです。2. 具体例とメカニズム現状： A銀行が、Bの所有する土地に根抵当権を設定している。ケース①：第三者Cが土地を差し押さえた場合Bの他の債権者Cが土地を差し押さえ、裁判所からA銀行に通知が届いた。結果： A銀行がその差し押さえを**「知った時」**に元本が確定します。以降の貸し付けは担保されません。ケース②：債務者Bが破産手続開始の決定を受けた場合結果： Bが破産した時点で元本は当然に確定します。破産後に生じた債権まで担保するのは不合理だからです。ケース③：根抵当権者A銀行自身が競売を申し立てた場合結果： 申し立てた時点で元本は確定します。自ら回収に動く以上、枠を広げておく必要がないためです。3. 過去問の急所（ここが狙われる！）行政書士試験では、**「確定が覆るか（遡及するか）」**という点が最頻出です。確定事由確定のタイミング特記事項根抵当権者による競売申立て申立て時競売が取り消されても、確定の効力は維持される。第三者による差し押さえ根抵当権者が知った時差し押さえが取り消されれば、確定しなかったことになる（原則）。債務者の破産決定時決定の効力が消滅すれば、確定しなかったことになる。ひっかけのパターン：「根抵当権者自身が競売を申し立てた場合、その後に競売の申立てが取り下げられれば、元本確定の効力は遡って消滅する」→ ×（誤り）（理由：自ら申し立てた場合は、取り下げても「確定」したままです。398条の20第2項）4. 周辺知識（確定の効果）元本が確定した後に何が起こるかを整理しましょう。随伴性の発生： 確定後は「普通の抵当権」と同じになり、債権を譲渡すれば根抵当権も一緒に移転します。内容の固定： 債権の範囲や債務者を変更することは一切できなくなります。利息の取り扱い： 極度額の範囲内であれば、2年分を超える利息も担保される点は変わりません。暗記のポイント：「自分で競売を始めたら、途中でやめても確定したまま。他人に差し押さえられたなら、それが消えれば元通り（確定しなかったことになる）」と区別しましょう。受験生へのアドバイス根抵当権の「確定事由」は、行政書士試験の担保物権の中でも正答率に差が出るポイントです。特に「競売の取り消し・取り下げ」の際の結論の違いは、短答式でも記述式でも狙われやすいため、「自爆（自ら申立て）」は後戻りできないと強く意識しておくと、ひっかけに強くなります。,,,,,不動産工事の先取特権は、工事によって生じた不動産の価格の増加が現存する場合に限り、その増価額についてのみ存在する。,,
元本確定前に債権者債務者間で被担保債権の範囲を変更することができ、後順位抵当権者への承諾は不要,,,,,"1. 根拠（条文・法理）
結論：その通りです。元本確定前であれば、後順位抵当権者などの第三者の承諾を得ることなく、自由に債権の範囲を変更できます。

根抵当権は、元本が確定するまでは「どのような種類の借金を担保するか」を柔軟に変更できるのが大きな特徴です。

根拠条文：民法398条の4第1項（根抵当権の範囲等の変更）
「根抵当権の範囲……の変更をするには、後順位の抵当権者その他の第三者の承諾を得ることを要しない。」

法理のポイント：
後順位者は、もともと「極度額」という枠が設定されていることを承知で後から入ってきた人たちです。枠の中身（債権の種類）が「銀行取引」から「手形貸付」に変わったとしても、極度額さえ増えなければ後順位者の計算（配当の期待）は狂わないため、文句を言う権利はないとされています。

2. 具体例とメカニズム
現状： 1. A銀行（1番根抵当権：極度額5,000万円、範囲：銀行取引）
2. B銀行（2番抵当権：債権額2,000万円）

変更： A銀行と設定者が合意して、範囲を「銀行取引および売買取引」に変更した。

後順位者Bの立場： Aの極度額5,000万円という「天井」が変わらない限り、Bが受け取れる配当の枠に影響はありません。そのため、Bのハンコ（承諾）は不要です。

結果： A銀行と設定者の合意だけで変更でき、その旨を登記すれば効力が発生します。

3. 過去問の急所（ここが狙われる！）
行政書士試験では、「承諾が必要なケース」と「不要なケース」の区別が最頻出です。

変更する項目        第三者の承諾の要否        理由
債権の範囲        不要        極度額（枠）が変わらなければ影響がないため。
債務者の変更        不要        同上。
極度額の変更        必要        天井が上がると、後順位者の取り分が減るため。
ひっかけのパターン：
「根抵当権の債務者を変更する場合、利害関係を有する後順位抵当権者の承諾を得なければ、その変更をこれに対抗することができない」→ ×（誤り）
債務者の変更も、債権の範囲の変更と同様に承諾不要です。

4. 周辺知識（変更のタイミング）
変更ができる期間には厳格なルールがあります。

変更の期限： 元本の確定前に限ります（398条の4第1項）。

確定後の変更： 元本が確定した後は、債権の範囲や債務者を変更することは一切できません（普通の抵当権と同じように債権が固定されるため）。

暗記のポイント：
「枠の中身（範囲・債務者）を変えるのは自由だが、**枠の大きさ（極度額）**を変えるときは後順位者に断れ！」と覚えましょう。

受験生へのアドバイス
この「承諾不要」というルールは、根抵当権の機動性をSめるための重要な規定です。試験では「極度額の変更には承諾が必要（398条の5）」という知識とセットで出題されるため、**「極度額だけが特別」**だと整理しておくのが得策です。",,,,,不動産売買の先取特権は、売買契約と同時に、不動産の代価またはその利息の弁済がされていない旨を登記したときでも、同一不動産上に登記された既存の抵当権に優先しない。,,
元本確定前に債権者が債務者に対して有する継続的売買契約に係る売掛金代金債権を第三者に譲渡した場合、その第三者は抵当地に対する根抵当権を行使できない　　★（確定後に行使できる？）,,,,,1. 根拠（条文・法理）結論：その通りです。元本確定前に債権だけを譲渡しても、根抵当権は付いてきません（随伴性の否定）。普通の抵当権は、債権が譲渡されるとセットで移動しますが（随伴性）、根抵当権は元本が確定するまでは特定の債権と結びついていない「枠」にすぎません。そのため、個別の債権が譲渡されても、根抵当権はその債権を追いかけません。根拠条文：民法398条の7第1項（根抵当権の随伴性の否定）「元本の確定前にした債権の譲渡……を受けた者は、その債権について根抵当権を行使することができない。」法理のポイント：元本確定前の根抵当権は、債務者との「継続的な取引」全体を担保するものです。そこから一部の債権（売掛金など）が切り離されて第三者に移ったとしても、その債権は担保の枠から外れ、**「無担保の債権」**となります。2. ★ご質問への回答：確定後に行使できる？結論：できません。ここが受験生の混乱しやすいポイントですが、以下の2つのケースを区別して整理する必要があります。① 元本確定「前」に譲渡された債権結論： 譲渡した瞬間に「無担保債権」として確定してしまいます。理由： 譲渡時に根抵当権が付いていなかった以上、その後に根抵当権の元本が確定したとしても、一度離れてしまった債権が再び担保の枠に戻ることはありません。 したがって、第三者は確定後であっても根抵当権を行使できません。② 元本確定「後」に譲渡された債権結論： 根抵当権を行使できます。理由： 元本が確定した瞬間に、根抵当権は「普通の抵当権」と同じ性質に変わります。確定後に債権を譲渡すれば、随伴性によって根抵当権も一緒に移転するため、譲受人は根抵当権を行使できるようになります。3. 過去問の急所（ここが狙われる！）行政書士試験では、**「どのタイミングで譲渡されたか」**が合否を分けます。債権譲渡のタイミング譲受人の根抵当権行使理由元本確定前不可随伴性が否定されるため（398条の7第1項）。元本確定後可能随伴性が復活（普通抵当権化）するため。ひっかけのパターン：「元本確定前に譲渡された債権であっても、その後に元本が確定すれば、譲受人は根抵当権を代位行使できる」→ ×（誤り）（理由：離れた債権は二度と戻りません）4. 周辺知識（債務引受との比較）債権を譲るのではなく、借金を誰かが肩代わりした場合も同じルールが適用されます。元本確定前の債務引受：債務者が入れ替わっても、根抵当権は新しい債務者の借金を担保しません（398条の7第2項）。免責的債務引受：引受人が借金を背負っても、根抵当権はその引受人のために行使することはできません。暗記のポイント：「確定前は**『枠』が大事。確定後は『特定の借金』**が大事」。枠からこぼれ落ちた（確定前に譲渡された）債権は、もう二度と拾ってもらえないとイメージしましょう。受験生へのアドバイスこの「随伴性の否定」は、根抵当権の機動性を確保するためのルールです。銀行がいちいち債権を売るたびに担保の登記を書き換える手間を省くためのものですが、その結果として「確定前に買った債権には担保が付かない」という厳しい結論になります。,,,,,債権者が不動産先取特権の登記をした後、債務者がその不動産を第三者に売却した場合、不動産先取特権者は、当該第三者に対して先取特権を行使することができる。,,
元本確定前、債権者は、債務者の承諾を得て、根抵当権を第三者に譲り渡すことができる,,,,,"1. 根拠（条文・法理）結論：その通りです。元本確定前であっても、根抵当権者（債権者）は「設定者」の承諾を得ることで、根抵当権を第三者に譲り渡すことができます。これを根抵当権の全部譲渡と呼びます。普通の抵当権は債権とセットでしか動かせませんが（随伴性）、元本確定前の根抵当権は「枠」としての性質が強いため、特定の債権とは切り離して、根抵当権という「権利そのもの」を譲渡することが認められています。根拠条文：民法398条の12第1項（根抵当権の譲渡等）「元本の確定前においては、根抵当権者は、根抵当権設定者の承諾を得て、その根抵当権を譲り渡すことができる。」法理のポイント（承諾の相手方）：譲渡の相手方との合意だけでなく、「根抵当権設定者（不動産のオーナー）」の承諾が効力発生要件となります。2. 具体例とメカニズム現状： A銀行が、Bの土地に極度額5,000万円の根抵当権（範囲：銀行取引）を持っている。譲渡： A銀行がこの根抵当権を丸ごとC銀行に譲ることにした。要件：A銀行とC銀行の譲渡合意。土地オーナーBの承諾。結果： Bの承諾があれば、C銀行が新たな根抵当権者となります。これ以後、C銀行とBとの間の取引がこの根抵当権で担保されるようになります。3. 過去問の急所（ここが狙われる！）行政書士試験では、「誰の承諾が必要か」という点と、「債権の譲渡」との違いが非常に重要です。全部譲渡の承諾権者： 根抵当権設定者（※「債務者」ではない点に注意が必要ですが、通常はオーナーの承諾で足ります）。債権譲渡との違い（超重要）：確定前に「債権」を譲渡した場合： 根抵当権は付いてきません（随伴性の否定）。この場合、設定者の承諾は不要です（通常の債権譲渡と同じ）。確定前に「根抵当権そのもの」を譲渡する場合： 今回のケースであり、設定者の承諾が必要です。ひっかけのパターン：「元本確定前において、根抵当権者は、利害関係を有する後順位抵当権者の承諾を得て、根抵当権を譲り渡すことができる」→ ×（誤り）（理由：後順位者の承諾は不要です。必要なのは「設定者」の承諾です）4. 周辺知識（確定前の根抵当権の処分）確定前にしかできない「根抵当権の処分」には、全部譲渡以外にも以下のようなものがあります。処分の種類内容要件全部譲渡根抵当権を丸ごと譲渡する。設定者の承諾分割譲渡根抵当権を2つに分割して、一方を譲渡する。設定者の承諾一部譲渡根抵当権を共有にする（準共有）。設定者の承諾暗記のポイント：「根抵当権という**『枠』**をいじるとき（譲渡・変更）は、オーナー（設定者）の承諾が必要」と覚えましょう。ただし、後順位者の承諾は不要です。受験生へのアドバイス「債権の譲渡」と「根抵当権の譲渡」は全く別物です。債権を譲渡しても根抵当権は動かない（確定前）。根抵当権を譲渡するには設定者のハンコがいる。この2つのルールを混同しないように整理しておけば、根抵当権の得点源になります。",,,,,同一の不動産について不動産保存の先取特権と不動産工事の先取特権が互いに競合する場合、各先取特権者は、その債権額の割合に応じて弁済を受ける。（ｒ）,,
元本確定後、債務者は、債権者に対し極度額の減額を請求でき、その範囲は、被担保債権額と以後２年間に生ずべき利息その他定期金および債務不履行による損害賠償額を加えた額,,,,,"1. 根拠（条文・法理）結論：その通りです。ただし、請求権者に「債務者」は含まれない点に注意してください。元本確定によって将来の借入リスクがなくなったため、不動産の担保価値を不当に拘束しないよう極度額を下げさせる制度です。根拠条文：民法398条の21第1項（極度額の減額請求）「元本の確定後において、現に存する債権の額が極度額を下回るときは、根抵当権設定者は、その極度額を、現に存する債権の額に以後2年間に生ずべき利息その他の定期金及び債務の不履行による損害賠償の額を加えた額まで減額することを請求することができる。」法理のポイント（請求権者の限定）：この請求ができるのは**「根抵当権設定者（不動産のオーナー）」**です。債務者＝設定者（本人）であれば請求できます。債務者≠設定者（物上保証人など）の場合、債務者自身には減額請求権はありません。2. 具体例とメカニズム現状： 極度額5,000万円。元本が2,000万円で確定した。計算式：現に存する債権額：2,000万円以後2年間の利息等（例）：200万円合計：2,200万円結果： 設定者が請求すれば、根抵当権者の承諾がなくても、極度額は5,000万円から2,200万円に減額されます。これにより、浮いた2,800万円分の枠を他の融資の担保に回せるようになります。3. 過去問の急所（ここが狙われる！）行政書士試験では、「誰が」請求できるか、「いつ」できるかが最大のひっかけポイントです。請求権者： 根抵当権設定者のみ（債務者は、設定者としての立場でしか請求できない）。時期： 元本確定後に限る。金額： 債権額ぴったりではなく、**「以後2年間の利息等」**を加算する。重要ひっかけ：「根抵当権の債務者は、元本確定後、現に存する債権額まで極度額を減額するよう請求できる」→ ×（誤り）（理由：債務者に権利はなく、また「2年分の利息」を加える必要があるため）4. 周辺知識（「2年分」のルールの比較）民法に登場する「2年」という数字を整理して覚えましょう。項目内容根抵当権の減額請求現在の債権額 ＋ 以後2年分の利息等。普通の抵当権の優先弁済利息等は最後の2年分に限る（後順位者がいる場合）。根抵当権の優先弁済極度額の範囲内なら、2年分の制限なし。暗記のポイント：「減額請求はプラス2年」。債権者が将来受け取るはずの利息をある程度保護するために、2年分のバッファを持たせると理解しましょう。受験生へのアドバイス行政書士試験では「債務者は〜請求できる」という記述がよく出ますが、民法において「債務者」と「設定者」は明確に区別されます。この減額請求は**「不動産の価値を取り戻すための権利」**なので、不動産を持っている「設定者」の権利だと紐付けておきましょう。",,質権に関する次の記述のうち、民法の規定および判例に照らし、妥当でないものはどれか。,,,動産質権者は、継続して質物を占有しなければ、その質権をもって第三者に対抗することができず、また、質物の占有を第三者によって奪われたときは、占有回収の訴えによってのみ、その質物を回復することができる。,,
元本が確定し、被担保債権額が極度額を２０００万円を超えた場合、抵当地の地上権を取得した加津は、債権者に極度額を払い渡して抵当権の消滅を請求することができる,,,,,"1. 根拠（条文・法理）結論：その通りです。加津（第三取得者）は、極度額に相当する金額を払い渡すことで、根抵当権の消滅を請求できます。根抵当権において、元本が確定した後に、債権額が極度額を超えてしまった場合の救済措置です。根拠条文：民法398条の22第1項（根抵当権の消滅請求）「元本の確定後において、現に存する債権の額が根抵当権の極度額を超えるときは、他人の債務を担保するためその根抵当権を設定した者（物上保証人）又は抵当不動産について所有権、地上権、永小作権若しくは登記をした賃借権を取得した第三者は、その極度額に相当する金額を払い渡し又は供託して、その根抵当権の消滅を請求することができる。」法理のポイント：債務者本人は全額（極度額超えの分も）払う義務がありますが、加津のような「第三取得者」や「物上保証人」は、極度額まで払えば、担保の拘束から逃れることができるというルールです。2. 具体例とメカニズム設定： 極度額 5,000万円元本確定後： 実際の債権額（元本＋利息等）が 7,000万円（極度額超え）になった。加津の立場： 加津はこの土地の地上権を取得した。消滅請求： 加津は「極度額である 5,000万円」を債権者に支払います。結果： 残りの2,000万円が未払いであっても、加津の請求により根抵当権は消滅します。債権者は、残った2,000万円を債務者本人には請求できますが、土地を競売にかけることはできなくなります。3. 過去問の急所（ここが狙われる！）行政書士試験では、「誰が」消滅請求できるかという主体が非常に重要です。消滅請求ができる人：第三取得者（所有権、地上権、永小作権、登記した賃借権を得た人）物上保証人消滅請求ができない人（超頻出！）：主債務者保証人（連帯保証人含む）※この人たちは、全額（このケースでは7,000万円）払わない限り、文句は言えません。ひっかけのパターン：「根抵当権の元本確定後、債務の額が極度額を超えている場合、主債務者は極度額を払い渡して根抵当権の消滅を請求することができる」→ ×（誤り）4. 周辺知識（抵当権消滅請求との比較）普通の抵当権にある「抵当権消滅請求（379条）」との違いを整理しましょう。項目抵当権消滅請求 (379条)根抵当権の消滅請求 (398条の22)対象となる担保普通の抵当権根抵当権（元本確定後）支払う金額自分が評価した代価（買い取った金額など）極度額そのもの債権者の対抗策承諾するか、競売を申し立てるか選べる（支払いがあれば）必ず消滅する暗記のポイント：「根抵当権の消滅請求は、極度額というフルパワーを払わないと認められない」。普通の抵当権の消滅請求（代価を提示する）よりもハードルがSいと覚えましょう。受験生へのアドバイスこの「398条の22」は、元本確定後にしか使えないという点もセットで押さえてください。また、加津が「地上権」を取得している点は、条文にある「第三取得者」にバッチリ該当します。",,,,,不動産質権は、目的不動産を債権者に引き渡すことによってその効力を生ずるが、不動産質権者は、質権設定登記をしなければ、その質権をもって第三者に対抗することができない。,,
根抵当権について元本確定期日が定められていない場合、根抵当権設定者は、根抵当権の設定から３年を経過したときに元本確定を請求でき、根抵当権者はいつでも元本確定を請求できる,,,,,1. 根拠（条文・法理）結論：その通りです。確定期日の定めがない場合、設定者は「3年経過後」に、根抵当権者は「いつでも」確定請求が可能です。根抵当権は、いつまでも元本が確定しないと不動産の担保価値が不当に拘束され続けるため、当事者の意思によって確定させる手段が用意されています。根拠条文：民法398条の19（根抵当権の元本確定請求）第1項（設定者からの請求）： 「根抵当権設定者は、根抵当権の設定の時から3年を経過したときは、元本の確定を請求することができる。」第2項（根抵当権者からの請求）： 「根抵当権者は、いつでも、元本の確定を請求することができる。」法理のポイント：設定者（オーナー）は、最低3年間は我慢しなければなりませんが、それ以降は確定させて担保枠を空ける権利があります。根抵当権者（銀行など）は、自分の権利を行使（競売など）する前提として、いつでも枠を固めることができます。2. 具体例とメカニズム現状： A銀行がBの土地に根抵当権を設定したが、契約書に「元本確定期日」を書かなかった。ケース①（設定者Bからのアクション）：設定から1年目：Bは確定請求できません。設定から3年が経過：Bは「もうこれ以上借金しないから、ここで枠を固めてくれ」とA銀行に請求できます。確定のタイミング： 請求から2週間が経過した時点で元本が確定します。ケース②（根抵当権者A銀行からのアクション）：A銀行は、設定の翌日であっても「いつでも」確定請求が可能です。確定のタイミング： 銀行が請求した**その瞬間に（直ちに）**元本が確定します。3. 過去問の急所（ここが狙われる！）行政書士試験では、**「3年という期間」と「確定するタイミング（2週間か直ちにか）」**が鋭く問われます。請求者請求できる時期確定するタイミング設定者設定から3年経過後請求から2週間後根抵当権者いつでも直ちにひっかけのパターン：「根抵当権設定者は、確定期日の定めがないときは、いつでも元本の確定を請求することができる」→ ×（誤り）（3年の待機期間が必要です）「根抵当権者が確定請求をした場合、請求から2週間を経過した時に元本が確定する」→ ×（誤り）（銀行からの請求は「直ちに」です）4. 周辺知識（確定期日の変更）もし最初から「確定期日」を定めていた場合のルールも重要です。期日の長さ： 設定から5年以内でなければなりません（398条の6第3項）。期日の変更： 元本確定前であれば変更可能ですが、旧期日から5年を超えることはできません。また、変更の登記を確定前にしないと、旧期日で確定してしまいます。暗記のポイント：「設定者は3年待って2週間後に確定、銀行はいつでも直ちに確定」。この数字とスピード感の違いをセットで覚えましょう。受験生へのアドバイス「2週間」という猶予期間が設定者にだけあるのは、銀行側が債権回収の準備（計算など）をする時間を与えるためです。逆に、銀行が自分で「止める」と言ったなら、猶予は不要なので「直ちに」確定します。このように理由とセットにすると、どちらが2週間だったか迷わなくなります。,,,,,債務者が他人の所有に属する動産につき質権を設定した場合であっても、債権者は、その動産が債務者の所有物であることについて過失なく信じたときは、質権を即時取得することができる。,,
元本確定前に被担保債権の範囲を変更する場合、後順位抵当権者の承諾を要しない,,,,,"1. 根拠（条文・法理）結論：その通りです。元本確定前であれば、後順位抵当権者などの第三者の承諾を得ることなく、自由に債権の範囲を変更できます。根抵当権は、元本が確定するまでは「どのような種類の借金を担保するか」を柔軟に変更できるのが大きな特徴です。根拠条文：民法398条の4第1項（根抵当権の範囲等の変更）「根抵当権の範囲……の変更をするには、後順位の抵当権者その他の第三者の承諾を得ることを要しない。」法理のポイント：後順位者は、もともと「極度額」という枠が設定されていることを承知で後から入ってきた人たちです。枠の中身（債権の種類）が「銀行取引」から「手形貸付」に変わったとしても、極度額さえ増えなければ後順位者の計算（配当の期待）は狂わないため、文句を言う権利はないとされています。2. 具体例とメカニズム現状：A銀行（1番根抵当権：極度額5,000万円、範囲：銀行取引）B銀行（2番抵当権：債権額2,000万円）変更： A銀行と設定者が合意して、範囲を「銀行取引および売買取引」に変更した。後順位者Bの立場： Aの極度額5,000万円という「天井」が変わらない限り、Bが受け取れる配当の枠に影響はありません。そのため、Bのハンコ（承諾）は不要です。結果： A銀行と設定者の合意だけで変更でき、その旨を登記すれば効力が発生します。3. 過去問の急所（ここが狙われる！）行政書士試験では、「承諾が必要なケース」と「不要なケース」の区別が最頻出です。変更する項目第三者の承諾の要否理由債権の範囲不要極度額（枠）が変わらなければ影響がないため。債務者の変更不要同上。極度額の変更必要天井が上がると、後順位者の取り分が減るため。ひっかけのパターン：「根抵当権の債務者を変更する場合、利害関係を有する後順位抵当権者の承諾を得なければ、その変更をこれに対抗することができない」→ ×（誤り）債務者の変更も、債権の範囲の変更と同様に承諾不要です。4. 周辺知識（変更のタイミング）変更ができる期間には厳格なルールがあります。変更の期限： 元本の確定前に限ります（398条の4第1項）。確定後の変更： 元本が確定した後は、債権の範囲や債務者を変更することは一切できません（普通の抵当権と同じように債権が固定されるため）。暗記のポイント：「枠の中身（範囲・債務者）を変えるのは自由だが、**枠の大きさ（極度額）**を変えるときは後順位者に断れ！」と覚えましょう。受験生へのアドバイスこの「承諾不要」というルールは、根抵当権の機動性をSめるための重要な規定です。試験では「極度額の変更には承諾が必要（398条の5）」という知識とセットで出題されるため、**「極度額だけが特別」**だと整理しておくのが得策です。",,,,,不動産質権者は、設定者の承諾を得ることを要件として、目的不動産の用法に従ってその使用収益をすることができる。（ｒ）,,
